IID,ancestry,white_brit,Unnamed: 0
5429596,United Kingdom,1,416465
3295853,United Kingdom,1,62988
1067660,United Kingdom,1,54832
1809827,United Kingdom,1,13587
4419131,United Kingdom,1,291924
1003852,United Kingdom,1,341835
3008413,United Kingdom,1,63458
1253381,United Kingdom,1,434989
3997313,United Kingdom,1,413410
5645473,United Kingdom,1,178171
3818979,United Kingdom,1,286212
5886450,United Kingdom,1,252850
1143156,United Kingdom,1,128954
3345607,United Kingdom,1,157750
2953465,United Kingdom,1,100262
4166321,United Kingdom,1,89455
6003240,United Kingdom,1,435148
5951107,United Kingdom,1,29893
2662478,United Kingdom,1,411713
1493733,United Kingdom,1,365016
1033956,United Kingdom,1,339251
2160434,United Kingdom,1,411780
5767794,United Kingdom,1,320583
3759396,United Kingdom,1,307702
2040809,United Kingdom,1,331662
4275614,United Kingdom,1,299660
3134363,United Kingdom,1,292509
6017425,United Kingdom,1,83787
3744686,United Kingdom,1,357146
3223449,United Kingdom,1,111954
3433117,United Kingdom,1,273131
4912174,United Kingdom,1,211418
3396723,United Kingdom,1,457258
5204501,United Kingdom,1,397576
5434993,United Kingdom,1,429026
4001201,United Kingdom,1,164381
2298040,United Kingdom,1,23127
1493913,United Kingdom,1,456906
1934799,United Kingdom,1,37943
2216003,United Kingdom,1,180666
2155166,United Kingdom,1,375735
1467523,United Kingdom,1,232910
1369928,United Kingdom,1,59474
5234644,United Kingdom,1,175027
3203328,United Kingdom,1,2402
1529182,United Kingdom,1,328844
4732861,United Kingdom,1,356570
1104810,United Kingdom,1,294793
3908871,United Kingdom,1,308086
5004488,United Kingdom,1,401992
3219946,United Kingdom,1,38295
5076142,United Kingdom,1,72779
4728626,United Kingdom,1,191589
2724327,United Kingdom,1,460033
1283129,United Kingdom,1,361593
5258363,United Kingdom,1,147205
2050579,United Kingdom,1,188084
2181566,United Kingdom,1,60830
4394481,United Kingdom,1,63680
3366675,United Kingdom,1,129393
1157062,United Kingdom,1,35715
1431591,United Kingdom,1,139782
5321324,United Kingdom,1,78630
1153653,United Kingdom,1,214327
4686235,United Kingdom,1,145019
3853884,United Kingdom,1,95575
2829353,United Kingdom,1,19713
4945175,United Kingdom,1,78298
1447541,United Kingdom,1,320550
3442279,United Kingdom,1,79594
2817513,United Kingdom,1,16328
4143751,United Kingdom,1,320775
4760761,United Kingdom,1,265904
2300126,United Kingdom,1,88870
3139090,United Kingdom,1,221688
3599485,United Kingdom,1,290132
1040274,United Kingdom,1,206189
3765847,United Kingdom,1,148446
5221187,United Kingdom,1,4883
5766056,United Kingdom,1,229469
2097972,United Kingdom,1,224433
1325910,United Kingdom,1,299747
5717682,United Kingdom,1,315567
2280564,United Kingdom,1,321702
3136851,United Kingdom,1,134033
3070285,United Kingdom,1,340334
2235873,United Kingdom,1,68390
4559871,United Kingdom,1,212629
3901962,United Kingdom,1,363821
1146883,United Kingdom,1,422175
1414132,United Kingdom,1,81808
2583890,United Kingdom,1,183103
5036894,United Kingdom,1,329917
1967151,United Kingdom,1,130379
2626848,United Kingdom,1,460478
4165373,United Kingdom,1,176005
5324726,United Kingdom,1,452828
1295892,United Kingdom,1,254295
4116950,United Kingdom,1,329901
3761656,United Kingdom,1,395438
5869320,United Kingdom,1,326288
5112145,United Kingdom,1,377459
5176515,United Kingdom,1,175078
5211025,United Kingdom,1,475430
3377918,United Kingdom,1,347411
4685097,United Kingdom,1,280724
4139069,United Kingdom,1,359297
1642375,United Kingdom,1,317723
4016031,United Kingdom,1,260941
4771618,United Kingdom,1,466229
5732352,United Kingdom,1,284568
4105075,United Kingdom,1,281981
1486494,United Kingdom,1,183478
2515267,United Kingdom,1,435012
3383661,United Kingdom,1,261657
1089426,United Kingdom,1,150207
4281549,United Kingdom,1,106842
1988681,United Kingdom,1,284272
1046901,United Kingdom,1,346741
5258125,United Kingdom,1,194084
3169452,United Kingdom,1,100592
1568494,United Kingdom,1,180956
4970309,United Kingdom,1,485390
4295871,United Kingdom,1,393450
5986829,United Kingdom,1,360426
3017108,United Kingdom,1,329241
3444536,United Kingdom,1,202877
1255331,United Kingdom,1,389976
5544757,United Kingdom,1,446651
2625147,United Kingdom,1,40573
4096060,United Kingdom,1,1387
3872804,United Kingdom,1,75366
2860969,United Kingdom,1,96601
4796118,United Kingdom,1,463298
2999591,United Kingdom,1,290350
2360319,United Kingdom,1,182547
3542482,United Kingdom,1,43703
4280118,United Kingdom,1,104605
5161968,United Kingdom,1,420201
3421298,United Kingdom,1,18390
3321440,United Kingdom,1,46523
2238030,United Kingdom,1,174478
5884863,United Kingdom,1,355553
2402043,United Kingdom,1,100435
3097334,United Kingdom,1,78972
5792572,United Kingdom,1,164894
1151070,United Kingdom,1,481179
5950896,United Kingdom,1,375682
1638492,United Kingdom,1,130884
2723348,United Kingdom,1,18768
3677500,United Kingdom,1,266070
2369491,United Kingdom,1,136444
2663858,United Kingdom,1,109903
3973708,United Kingdom,1,269650
5164522,United Kingdom,1,201213
2262087,United Kingdom,1,69462
5250998,United Kingdom,1,442218
4650889,United Kingdom,1,316027
3564642,United Kingdom,1,33365
5718341,United Kingdom,1,115516
2968993,United Kingdom,1,106304
3856350,United Kingdom,1,7702
2072396,United Kingdom,1,54090
2622596,United Kingdom,1,327413
3101335,United Kingdom,1,117643
4091583,United Kingdom,1,359162
2480070,United Kingdom,1,194868
2611147,United Kingdom,1,112950
3398040,United Kingdom,1,98939
5842467,United Kingdom,1,47272
5518218,United Kingdom,1,115244
2643931,United Kingdom,1,68473
